Date/Time;Environment:Site Outdoor Air Drybulb Temperature [C](Hourly);BUREAU:Zone Operative Temperature [C](Hourly);BUREAU IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly);BUREAU:Zone Heat Index [C](Hourly) 
 01/05  20:00:00;26.483333333333334;28.32200406350835;4133284.0089857136;0.0 
 01/05  21:00:00;23.88333333333333;28.11180171108359;3553223.0483168466;0.0 
 01/05  22:00:00;21.983333333333334;27.924043921510503;3057113.3357761293;0.0 
 01/05  23:00:00;20.583333333333332;25.1386639486939;0.0;0.0 
 01/05  24:00:00;19.650000000000002;24.277692749781703;0.0;0.0 
 01/06  01:00:00;19.224999999999998;23.76743883109752;0.0;0.0 
 01/06  02:00:00;18.983333333333334;23.389334625045034;0.0;0.0 
 01/06  03:00:00;18.725000000000005;23.03372698247905;0.0;0.0 
 01/06  04:00:00;18.25;22.580721012338653;0.0;0.0 
 01/06  05:00:00;18.0;22.232360867328904;0.0;0.0 
 01/06  06:00:00;17.3;21.681894469149015;0.0;0.0 
 01/06  07:00:00;15.166666666666666;24.98124409991742;0.0;0.0 
 01/06  08:00:00;14.0;25.516443334527974;0.0;0.0 
 01/06  09:00:00;15.75;25.74151268313196;0.0;0.0 
 01/06  10:00:00;21.083333333333332;26.320487082719932;157426.92971914692;0.0 
 01/06  11:00:00;26.916666666666668;26.802984987637547;832397.7612987065;0.0 
 01/06  12:00:00;29.816666666666666;27.246072902125388;1584553.9097473407;0.0 
 01/06  13:00:00;31.275000000000002;27.68382028572525;2555678.8708835496;0.0 
 01/06  14:00:00;32.71666666666667;28.116815948310727;3644271.047523667;0.0 
 01/06  15:00:00;34.175000000000004;28.502210514967572;4671618.095300127;0.0 
 01/06  16:00:00;34.916666666666664;28.79002906521527;5450312.08731854;0.0 
 01/06  17:00:00;35.0;28.91036422951072;5763354.360320155;0.0 
 01/06  18:00:00;34.125;28.832639609019708;5533898.744972905;0.0 
 01/06  19:00:00;30.875;28.600340039704463;4897937.707162679;0.0 
 01/06  20:00:00;27.425;28.348436259616275;4199089.315711525;0.0 
 01/06  21:00:00;24.724999999999998;28.127666472054887;3588070.8946411987;0.0 
 01/06  22:00:00;22.666666666666668;27.929521577129346;3067512.9396268646;0.0 
 01/06  23:00:00;20.833333333333332;25.259698276546242;0.0;0.0 
 01/06  24:00:00;19.183333333333337;24.024168092553555;0.0;0.0 
 01/07  01:00:00;17.900000000000002;23.02525236974728;0.0;0.0 
 01/07  02:00:00;16.7;22.081215730038213;0.0;0.0 
 01/07  03:00:00;15.5;21.13824333482308;0.0;0.0 
 01/07  04:00:00;14.416666666666666;20.250243013913494;0.0;0.0 
 01/07  05:00:00;14.0;19.70732707525667;0.0;0.0 
 01/07  06:00:00;13.475;19.170757367435673;0.0;0.0 
 01/07  07:00:00;13.041666666666666;23.643911270231744;0.0;0.0 
 01/07  08:00:00;15.799999999999999;24.5353644795113;0.0;0.0 
 01/07  09:00:00;17.391666666666666;24.917136060010918;0.0;0.0 
 01/07  10:00:00;21.708333333333332;25.652169088574926;0.0;0.0 
 01/07  11:00:00;27.333333333333332;26.50900931085826;488941.84262863314;0.0 
 01/07  12:00:00;31.099999999999998;27.001589248332394;1258381.2489534926;0.0 
 01/07  13:00:00;33.475;27.487262554951695;2273501.521733893;0.0 
 01/07  14:00:00;34.916666666666664;27.946583043191527;3394660.8547027414;0.0 
 01/07  15:00:00;36.375;28.357836760809054;4461646.326025408;0.0 
 01/07  16:00:00;37.0;28.665356508008827;5278170.325675959;0.0 
 01/07  17:00:00;37.0;28.81151237964791;5652729.621782509;0.0 
 01/07  18:00:00;36.00833333333333;28.762673493281095;5493511.208877694;0.0 
 01/07  19:00:00;31.625;28.541018097179357;75264765.74340197;0.0 
 01/07  20:00:00;27.775000000000002;28.302066438219786;26769073.684972435;0.0 
 01/07  21:00:00;25.675;27.973746570378154;3164291.0106886267;0.0 
 01/07  22:00:00;24.391666666666666;27.251761357883964;0.0;0.0 
 01/07  23:00:00;23.75;26.730599876311867;0.0;0.0 
 01/07  24:00:00;23.09166666666667;26.206617857600108;0.0;0.0 
 01/08  01:00:00;22.275000000000002;25.596426700674275;0.0;0.0 
 01/08  02:00:00;21.433333333333337;24.95922702096065;0.0;0.0 
 01/08  03:00:00;20.575;24.308707900278176;0.0;0.0 
 01/08  04:00:00;19.558333333333334;23.569280494462575;0.0;0.0 
 01/08  05:00:00;18.458333333333332;22.769952769613344;0.0;0.0 
 01/08  06:00:00;17.883333333333333;22.22317423355277;0.0;0.0 
 01/08  07:00:00;16.75;21.42740598388336;0.0;0.0 
 01/08  08:00:00;17.166666666666668;21.37932054988427;0.0;0.0 
 01/08  09:00:00;19.108333333333334;22.382808369943504;0.0;0.0 
 01/08  10:00:00;22.875;24.53179611893331;0.0;0.0 
 01/08  11:00:00;28.5;26.661908192626232;32369256.78943371;0.0 
 01/08  12:00:00;32.050000000000004;27.213343326923635;77347558.68804336;0.0 
 01/08  13:00:00;33.55833333333333;27.692898778503462;96685875.9319651;0.0 
 01/08  14:00:00;34.800000000000004;28.14018523045836;112756231.38265735;0.0 
 01/08  15:00:00;36.05833333333333;28.539286724648687;128833733.14176598;0.0 
 01/08  16:00:00;36.425000000000004;28.8390440958412;134139426.90612477;0.0 
 01/08  17:00:00;36.125;28.969029970206964;131132236.08458468;0.0 
 01/08  18:00:00;35.53333333333333;28.907962771176358;123629360.88947031;0.0 
 01/08  19:00:00;33.15833333333333;28.71277691118485;94188175.80348727;0.0 
 01/08  20:00:00;29.599999999999998;28.493242925730556;49806582.194475025;0.0 
 01/08  21:00:00;26.058333333333334;28.158437810351597;8099476.928256894;0.0 
 01/08  22:00:00;24.425;27.441600499847244;0.0;0.0 
 01/08  23:00:00;24.125;27.105162636838276;0.0;0.0 
