zone,year,hot_days,period
zone_sylvo_pastoral,2052,108,future
zone_sylvo_pastoral,2053,106,future
zone_sylvo_pastoral,2054,112,future
zone_sylvo_pastoral,2055,115,future
zone_sylvo_pastoral,2056,117,future
zone_sylvo_pastoral,2057,163,future
zone_sylvo_pastoral,2058,139,future
zone_sylvo_pastoral,2059,141,future
zone_sylvo_pastoral,2060,151,future
zone_sylvo_pastoral,2061,130,future
zone_sylvo_pastoral,2062,147,future
zone_sylvo_pastoral,2063,211,future
zone_sylvo_pastoral,2064,212,future
zone_sylvo_pastoral,2065,205,future
zone_sylvo_pastoral,2066,197,future
zone_sylvo_pastoral,2067,192,future
zone_sylvo_pastoral,2068,204,future
zone_sylvo_pastoral,2069,219,future
